,Vmag,Plx,ePlx,BV,eBV,dist,Vabs
38.0,8.65,23.84,0.78,0.778,0.015,41.9463087248,5.53653125534
50.0,6.49,16.89,0.8,0.616,0.005,59.2066311427,2.62814824786
57.0,8.27,33.89,0.79,0.863,0.012,29.5072292712,5.92035784419
58.0,7.05,26.06,0.67,0.52,0.007,38.3729854183,4.12987205688
68.0,8.79,31.8,1.17,0.94,0.015,31.4465408805,6.30213559992
128.0,6.5,15.2,0.63,0.182,0.002,65.7894736842,2.40921793972
142.0,7.33,16.04,0.69,0.73,0.008,62.3441396509,3.35602181974
159.0,6.93,16.92,0.81,0.292,0.009,59.1016548463,3.07200179352
171.0,5.8,80.63,3.03,0.69,0.015,12.4023316383,5.332483299
184.0,8.48,29.75,1.21,0.888,0.02,33.6134453782,5.84743485032
194.0,5.7,26.53,0.77,0.315,0.006,37.6931775349,2.81868624991
296.0,8.24,25.29,1.11,0.78,0.01,39.5413206801,5.25474414672
305.0,7.66,20.44,0.96,0.741,0.01,48.9236790607,4.21240445731
400.0,7.82,39.06,0.93,0.755,0.013,25.6016385049,5.77866119476
407.0,8.13,22.09,0.71,0.71,0.015,45.2693526483,4.85097857936
413.0,7.73,19.78,0.87,0.537,0.005,50.5561172902,4.21113143631
420.0,7.53,23.9,0.85,0.577,0.006,41.8410041841,4.42198950474
428.0,9.95,86.98,1.41,1.472,0.019,11.4968958381,9.64709701665
436.0,8.49,62.48,0.82,1.076,0.018,16.0051216389,7.46870510435
462.0,7.13,19.81,0.94,0.446,0.008,50.4795557799,3.61442237769
473.0,8.2,85.1,2.74,1.41,0.014,11.7508813161,7.84964780042
490.0,7.51,24.85,0.92,0.595,0.008,40.2414486922,4.48663196535
493.0,7.45,26.24,0.82,0.596,0.01,38.1097560976,4.54481915352
518.0,5.98,49.3,1.05,0.687,0.0,20.2839756592,4.44423459639
522.0,5.7,39.0,0.64,0.519,0.011,25.641025641,3.65532303513
523.0,12.17,56.92,2.73,1.55,0.015,17.5685172171,10.9463244571
544.0,6.07,72.98,0.75,0.752,0.003,13.7023842149,5.38601929514
560.0,6.19,25.59,0.75,0.386,0.007,39.0777647519,3.23035142944
606.0,7.06,20.63,0.91,0.463,0.015,48.4730974309,3.63249613987
616.0,8.7,30.76,1.21,0.798,0.003,32.5097529259,6.13993165565
641.0,7.82,21.83,0.84,0.61,0.01,45.8085203848,4.51526867855
669.0,7.04,36.18,1.02,0.624,0.015,27.6395798784,4.83234281262
677.0,2.07,33.6,0.73,-0.038,0.005,29.7619047619,-0.298303613051
682.0,7.59,25.15,0.97,0.626,0.015,39.7614314115,4.59268994696
687.0,10.73,45.64,1.92,1.46,0.015,21.9106047327,9.02672817873
699.0,6.21,30.26,0.69,0.504,0.004,33.0469266358,3.61434461844
705.0,8.41,16.24,0.7,0.588,0.013,61.5763546798,4.46293012453
746.0,2.28,59.89,0.56,0.38,0.004,16.6972783436,1.16677156542
755.0,7.02,17.03,0.69,0.932,0.008,58.7199060482,3.17607323981
759.0,7.07,19.28,0.79,0.644,0.007,51.867219917,3.49553514783
814.0,5.29,13.45,0.5,1.049,0.002,74.3494423792,0.933611421692
865.0,6.66,15.06,0.7,0.372,0.006,66.401062417,2.54912485932
873.0,5.84,15.35,0.74,1.0,0.003,65.1465798046,1.77054189907
910.0,4.89,52.94,0.77,0.487,0.012,18.8893086513,3.50891968483
919.0,7.95,29.35,0.95,0.755,0.015,34.0715502555,5.28804052792
920.0,8.23,18.6,0.91,0.581,0.015,53.7634408602,4.57756472109
929.0,8.34,17.0,0.82,0.619,0.002,58.8235294118,4.49224460689
934.0,9.04,27.46,1.09,0.891,0.02,36.4166059723,6.2335026645
950.0,5.24,45.85,0.66,0.459,0.002,21.8102508179,3.54669670003
975.0,7.62,17.21,0.76,0.758,0.008,58.1057524695,3.79890435164
999.0,8.44,24.69,1.2,0.739,0.015,40.5022276225,5.40260544966
1026.0,6.63,18.06,0.76,0.402,0.005,55.3709856035,2.91358872989
1031.0,7.22,49.18,0.78,0.775,0.002,20.3334688898,5.67894262201
1085.0,9.05,30.0,1.25,0.913,0.02,33.3333333333,6.4356062736
1086.0,5.71,28.57,0.74,0.331,0.004,35.0017500875,2.98955120191
1113.0,8.76,22.86,0.87,0.743,0.022,43.7445319335,5.5553811303
1140.0,6.66,21.62,0.68,0.462,0.008,46.2534690102,3.33427844809
1147.0,6.89,18.19,0.9,0.502,0.005,54.9752611325,3.18916349532
1206.0,8.57,22.9,0.93,0.695,0.015,43.6681222707,5.3691774117
1292.0,6.59,56.76,0.53,0.749,0.004,17.6180408739,5.36021193393
1294.0,8.79,23.91,1.17,0.965,0.023,41.8235048097,5.68289788058
1347.0,8.67,30.0,0.82,0.855,0.017,33.3333333333,6.0556062736
1368.0,8.99,66.71,1.12,1.37,0.004,14.9902563334,8.11095470326
1382.0,7.96,27.32,0.84,0.651,0.003,36.6032210835,5.14240347505
1402.0,6.46,20.47,0.89,0.386,0.011,48.8519785051,3.01558921331
1427.0,7.21,21.66,0.87,0.477,0.017,46.1680517082,3.88829226145
1444.0,6.51,38.24,0.85,0.599,0.004,26.1506276151,4.42258941802
1463.0,10.88,61.67,2.2,1.479,0.012,16.2153397114,9.83036974213
1473.0,4.51,23.11,0.68,0.054,0.002,43.2713111207,1.3289997274
1481.0,7.46,24.42,0.68,0.537,0.008,40.95004095,4.39872829804
1499.0,6.47,42.67,0.85,0.674,0.008,23.4356690884,4.6206132143
1532.0,9.9,48.17,1.73,1.318,0.004,20.7598090098,8.31388323157
1573.0,7.03,21.59,0.98,0.508,0.003,46.3177396943,3.70126321167
1598.0,6.97,40.25,0.81,0.64,0.008,24.8447204969,4.99382942352
1599.0,4.23,116.38,0.64,0.576,0.01,8.59254167383,4.55939176429
1623.0,7.87,19.35,0.69,0.552,0.004,51.6795865633,4.30340484677
1647.0,5.5,10.65,0.51,-0.046,0.002,93.896713615,0.636748038874
1674.0,7.91,31.49,1.51,0.815,0.015,31.7561130518,5.40086330318
1686.0,5.16,20.42,0.73,0.442,0.004,48.971596474,1.71027868875
1696.0,10.41,55.68,2.02,1.475,0.016,17.9597701149,9.13849613301
1719.0,9.65,23.22,1.02,0.835,0.004,43.0663221361,6.47931107701
1734.0,11.16,54.91,2.19,1.485,0.015,18.2116190129,9.85825721855
1779.0,8.59,22.53,0.91,0.769,0.016,44.3852640923,5.35380595862
1803.0,6.39,49.05,0.91,0.659,0.004,20.3873598369,4.84319505858
1813.0,7.57,24.68,0.9,0.639,0.009,40.5186385737,4.53172577681
1837.0,8.74,44.97,1.15,1.075,0.003,22.2370469202,7.00461443784
1892.0,6.57,18.64,0.69,0.38,0.005,53.6480686695,2.92222954009
1936.0,7.92,55.53,1.08,0.94,0.01,18.0082838106,6.64263836736
1954.0,7.27,36.15,0.8,0.681,0.007,27.6625172891,5.06054150815
1955.0,6.81,28.91,0.73,0.596,0.005,34.5901072293,4.11524045835
1987.0,7.52,23.69,1.08,0.629,0.015,42.2119037569,4.39282530361
2021.0,2.82,133.78,0.51,0.618,0.008,7.47495888773,3.45195595808
2072.0,3.93,42.51,0.69,0.175,0.008,23.5238767349,2.07245552484
2081.0,2.4,42.14,0.78,1.083,0.016,23.7304224015,0.52347265636
2120.0,10.52,61.39,1.51,1.459,0.021,16.2892979313,9.4604881669
2235.0,6.05,27.51,0.86,0.447,0.005,36.3504180298,3.24745295195
2237.0,6.44,31.01,0.87,0.594,0.002,32.2476620445,3.89750883119
2337.0,6.15,23.62,0.87,0.388,0.011,42.3370025402,3.01639946639
2355.0,5.2,17.62,0.86,0.271,0.005,56.7536889898,1.43002952038
2381.0,5.17,18.08,0.9,0.128,0.004,55.3097345133,1.4559921307
2383.0,5.67,22.19,0.67,0.367,0.003,45.0653447499,2.40078651116
2397.0,9.22,29.34,1.18,0.93,0.015,34.0831629175,6.55730054754
2422.0,6.18,25.37,0.54,0.883,0.004,39.4166338195,3.20160233611
2426.0,10.63,36.36,1.45,1.359,0.02,27.502750275,8.43311937275
2453.0,7.37,23.95,0.66,0.504,0.008,41.7536534447,4.26652758875
2472.0,4.76,18.97,0.64,0.018,0.004,52.7148128624,1.15033665444
2484.0,4.36,23.35,0.52,-0.064,0.009,42.8265524625,1.20143442451
2540.0,9.65,38.85,1.1,1.367,0.004,25.74002574,7.59695511568
2578.0,5.07,21.52,0.49,0.038,0.004,46.468401487,1.73421133497
2663.0,6.41,27.63,1.06,0.617,0.004,36.1925443359,3.61690442458
2710.0,6.9,24.09,0.88,0.481,0.015,41.5110004151,3.80918399999
2711.0,5.57,39.03,0.62,0.472,0.012,25.6213169357,3.52699275641
2712.0,7.38,21.2,0.87,0.549,0.014,47.1698113208,4.01167930464
2729.0,9.56,21.78,1.01,1.05,0.02,45.9136822773,6.2502893771
