rmag	z
17.89822	0.076665
17.963367	0.079986
17.76712	0.080601
18.353565	0.106716
18.535282	0.162999
18.598925	0.163276
17.877228	0.080445
18.261948	0.107375
17.83617	0.108294
18.424553	0.094911
18.608427	0.169599
18.524902	0.126947
18.25979	0.107648
17.350536	0.095296
18.272629	0.109802
17.997028	0.109003
17.768017	0.10487
18.391792	0.162825
18.581055	0.145959
17.881027	0.10381
18.01259	0.076509
17.895752	0.084893
18.172726	0.109381
17.747662	0.078996
17.532009	0.080821
18.542355	0.126986
17.635506	0.08205
18.745644	0.141561
18.325092	0.081876
18.126993	0.116707
18.066891	0.094872
17.998053	0.11167
18.230024	0.131231
17.960125	0.07817
17.128607	0.048489
