time        flux.1       error.1     flux.2     error.2  
  1.06      18.49        1.12        19.61      1.06    
  2.01      16.20        0.92        18.53      1.08    
  2.85      16.07        1.00        15.87      1.11    
  4.13      16.64        0.89        12.72      1.04    
  4.95      16.69        1.06        13.01      0.85    
  6.06      18.35        0.94        12.42      1.01    
  6.93      16.34        0.95        16.81      1.17    
  7.94      15.17        1.06        20.20      1.09    
  8.92      19.86        0.93        20.72      0.93    
 10.04      17.69        0.82        18.35      0.96    
 11.06      15.37        0.97        15.94      0.87    
 12.13      16.09        1.19        11.80      0.94    
 12.89      17.57        0.86        11.83      0.91    
 13.92      18.23        1.02        13.74      0.81    
 15.00      18.08        1.13        16.25      1.03    
 15.87      16.64        0.91        19.16      0.95    
 17.09      15.40        1.04        20.40      0.92    
 18.04      17.55        0.99        16.44      0.90    
 18.95      16.19        0.96        14.72      1.13    
 19.95      16.51        0.84        11.62      0.88    
